,ticker,stkpx,expirdate,yte,strike,transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,pbidpx,pvalue,paskpx,delta,gamma,theta,vega,rho,phi,trade_date,PeriodPnL,TotalPnL,Loss100,LossDate,MinLossDate,stopLoss
95,AAPL,111.12,2016-05-20,0.12603,105.0,2016-04-04,2.03,2.07,2.06,2.03,2.07,2.06,0.7202569999999999,0.030048000000000002,-0.04541,0.129834,0.090762,-0.100356,2016-04-04,0.0,42.250000000000014,False,,2016-04-27,False
96,AAPL,109.69,2016-05-20,0.12329000000000001,105.0,2016-04-04,2.03,2.07,2.06,2.47,2.5,2.49,0.675719,0.032521,-0.048501,0.13994700000000002,0.082715,-0.090912,2016-04-05,-0.43000000000000016,41.820000000000014,False,,2016-04-27,False
97,AAPL,110.88,2016-05-20,0.12055,105.0,2016-04-04,2.03,2.07,2.06,2.12,2.15,2.14,0.7114,0.030491000000000004,-0.047466,0.133648,0.085634,-0.094606,2016-04-06,-0.08000000000000007,41.740000000000016,False,,2016-04-27,False
98,AAPL,108.49,2016-05-20,0.11780999999999998,105.0,2016-04-04,2.03,2.07,2.06,3.05,3.02,3.1,0.632618,0.033705,-0.05275,0.140731,0.073421,-0.08043600000000001,2016-04-07,-0.9500000000000002,40.79000000000001,False,,2016-04-27,False
99,AAPL,108.6,2016-05-20,0.11507,105.0,2016-04-04,2.03,2.07,2.06,2.81,2.84,2.83,0.639674,0.034579,-0.052287,0.139035,0.072741,-0.079523,2016-04-08,-0.77,40.02000000000001,False,,2016-04-27,False
100,AAPL,109.26,2016-05-20,0.10685,105.0,2016-04-04,2.03,2.07,2.06,2.45,2.36,2.46,0.669307,0.035591000000000005,-0.051448,0.130227,0.071276,-0.077736,2016-04-11,-0.29000000000000004,39.73000000000001,False,,2016-04-27,False
101,AAPL,110.38,2016-05-20,0.10411,105.0,2016-04-04,2.03,2.07,2.06,2.01,2.2,2.02,0.699679,0.032116000000000006,-0.053795,0.12404200000000001,0.072719,-0.079996,2016-04-12,-0.13000000000000034,39.60000000000001,False,,2016-04-27,False
102,AAPL,111.92,2016-05-20,0.10137,105.0,2016-04-04,2.03,2.07,2.06,1.6,2.0,1.62,0.7355729999999999,0.028,-0.056059000000000005,0.11712,0.074603,-0.08303300000000001,2016-04-13,0.06999999999999984,39.67000000000001,False,,2016-04-27,False
103,AAPL,112.02,2016-05-20,0.09863,105.0,2016-04-04,2.03,2.07,2.06,1.48,1.65,1.49,0.754221,0.029493000000000002,-0.050959,0.108801,0.07498099999999999,-0.082913,2016-04-14,0.41999999999999993,40.09000000000001,False,,2016-04-27,False
104,AAPL,109.82,2016-05-20,0.09589,105.0,2016-04-04,2.03,2.07,2.06,2.05,2.16,2.08,0.690756,0.034328,-0.057659,0.118315,0.06615499999999999,-0.07237,2016-04-15,-0.0900000000000003,40.00000000000001,False,,2016-04-27,False
105,AAPL,107.62,2016-05-20,0.08767,105.0,2016-04-04,2.03,2.07,2.06,2.75,2.79,2.79,0.611658,0.039858,-0.062251,0.120976,0.05313300000000001,-0.057408,2016-04-18,-0.7200000000000002,39.28000000000001,False,,2016-04-27,False
